flag,h5ad,Z_values,3D_forward,x_shift,y_shift
s17,path/s17.fu100.h5ad,17,"[[-0.05015777742053772, -0.9987413065274868, 2424.4968752001732], [0.9987413065274868, -0.05015777742053772, 938.085843488279], [0.0, 0.0, 1.0]]",4950,15100
s18,path/s18.fu100.h5ad,18,"[[-0.10411549051191088, -0.9945652138675799, 2463.177886606118], [0.9945652138675799, -0.10411549051191088, 997.5414438152034], [0.0, 0.0, 1.0]]",9600,14650
s19,path/s19.fu100.h5ad,19,"[[-0.11447368211005755, -0.993426281162405, 2405.935178246886], [0.993426281162405, -0.11447368211005755, 892.4770743468894], [0.0, 0.0, 1.0]]",12900,14650
s20,path/s20.fu100.h5ad,20,"[[0.15591636087296865, -0.9877702609474178, 2331.3735972584564], [0.9877702609474178, 0.15591636087296865, 840.7879434460974], [0.0, 0.0, 1.0]]",3900,11050
s22,path/s22.fu100.h5ad,22,"[[0.14617090498815924, -0.9892593525132531, 2338.105737050765], [0.9892593525132531, 0.14617090498815924, 837.0841948614861], [0.0, 0.0, 1.0]]",11850,10850
s23,path/s23.fu100.h5ad,23,"[[-0.6436787199028958, -0.7652958287774541, 2669.3385747762513], [0.7652958287774541, -0.6436787199028958, 1596.0304105708167], [0.0, 0.0, 1.0]]",7750,7200
s24,path/s24.fu100.h5ad,24,"[[-0.20292639447474473, -0.9791939942756395, 2689.6042576306236], [0.9791939942756395, -0.20292639447474473, 923.8304060110174], [0.0, 0.0, 1.0]]",12302,7050
s25,path/s25.fu100.h5ad,25,"[[0.3220359733940084, -0.9467274327070998, 2277.4115452697074], [0.9467274327070998, 0.3220359733940084, 308.6524363057548], [0.0, 0.0, 1.0]]",4640,13000
s26,path/s26.fu100.h5ad,26,"[[0.024699718815542924, -0.9996949154069115, 2488.8566705603], [0.9996949154069115, 0.024699718815542924, 610.7589072091631], [0.0, 0.0, 1.0]]",9560,14140
s27,path/s27.fu100.h5ad,27,"[[-0.1061293566451262, -0.9943523317507187, 2828.532922314602], [0.9943523317507187, -0.1061293566451262, 734.4572112627726], [0.0, 0.0, 1.0]]",14120,13860
s28,path/s28.fu100.h5ad,28,"[[0.5810242089807505, -0.8138862749661603, 1998.6568777690863], [0.8138862749661603, 0.5810242089807505, 367.33024203148113], [0.0, 0.0, 1.0]]",6000,9420
